baseline,n_years,rmse,mae,mape,r2
lowdim_ridge,4,0.6097063423174369,0.4992866557807294,7.1277409105463345,-0.6134718270475272
rolling_avg,4,0.5654154900214969,0.45140624999999956,6.428723905881005,-0.38757148226942917
simple_avg,5,1.306194989647933,1.1948625293720794,15.897831582439242,-8.245714135484992
