model_name,val_year,best_val_rmse,best_val_mae,best_val_mape,best_epoch,seed,n_train_samples,n_val_samples
dual,2015,0.6848863959312439,0.5546103119850159,9.277271270751953,32,42,462,33
dual,2016,0.9271105527877808,0.6902324557304382,12.063506126403809,10,42,495,33
dual,2017,0.9548704624176025,0.7338657975196838,15.215124130249023,6,42,528,28
dual,2018,0.8439463973045349,0.637019157409668,12.604032516479492,2,42,556,28
dual,2019,0.7284175753593445,0.5937049388885498,9.236316680908203,2,42,584,33
dual,2015,0.6848863959312439,0.5546103119850159,9.277271270751953,32,42,462,33
dual,2016,0.9271105527877808,0.6902324557304382,12.063506126403809,10,42,495,33
dual,2017,0.9548704624176025,0.7338657975196838,15.215124130249023,6,42,528,28
dual,2018,0.8439463973045349,0.637019157409668,12.604032516479492,2,42,556,28
dual,2019,0.7284175753593445,0.5937049388885498,9.236316680908203,2,42,584,33
