model_name,val_year,best_val_rmse,best_val_mae,best_val_mape,best_val_r2,best_epoch,seed,n_train_samples,n_val_samples
single,2015,1.0276906490325928,0.8468444347381592,15.612071990966797,0.4509626030921936,21,42,462,33
single,2016,1.2900331020355225,1.0869057178497314,19.484447479248047,0.4162680506706238,41,42,495,33
single,2017,1.3696327209472656,1.0490847826004028,24.383039474487305,0.483109712600708,30,42,528,28
single,2018,1.0097872018814087,0.7952104210853577,14.00634479522705,0.14516210556030273,11,42,556,28
single,2019,0.732048749923706,0.5641537308692932,9.333507537841797,0.3533904552459717,2,42,584,33
single,2015,1.0276906490325928,0.8468444347381592,15.612071990966797,0.4509626030921936,21,42,462,33
single,2016,1.2900331020355225,1.0869057178497314,19.484447479248047,0.4162680506706238,41,42,495,33
single,2017,1.3696327209472656,1.0490847826004028,24.383039474487305,0.483109712600708,30,42,528,28
single,2018,1.0097872018814087,0.7952104210853577,14.00634479522705,0.14516210556030273,11,42,556,28
single,2019,0.732048749923706,0.5641537308692932,9.333507537841797,0.3533904552459717,2,42,584,33
